Timestamp,Passed,Failed,Total Processed,Pass Rate (%),Duration (seconds)
2025-08-25T15:38:09.369Z,14796,18397,33193,44.58,1.653
2025-08-25T15:47:10.389Z,14933,18260,33193,44.99,1.586
2025-08-25T17:16:08.490Z,14933,18260,33193,44.99,0.827
2025-08-25T17:26:38.852Z,14933,18260,33193,44.99,0.764
2025-08-25T17:58:54.891Z,15066,18127,33193,45.39,0.745
2025-08-25T18:19:37.725Z,15427,17759,33186,46.49,0.82
2025-08-25T18:30:10.565Z,15431,17553,32984,46.78,0.843
2025-08-25T18:30:39.474Z,15431,17352,32783,47.07,0.822
2025-08-25T18:31:15.444Z,15473,17310,32783,47.20,0.918
2025-08-25T18:37:01.138Z,15475,17304,32779,47.21,0.939
