Object Date,Expected Begin,Expected End,Epochized Begin,Epochized End,Error
ca. 1905,1902,1908,1902,1905,"Expected: 1902-1908, Got: 1902-1905"
ca. 1855,1852,1858,1852,1855,"Expected: 1852-1858, Got: 1852-1855"
ca. 1877–97,1877,1897,1874,1897,"Expected: 1877-1897, Got: 1874-1897"
ca. 1875–76,1870,1881,1872,1876,"Expected: 1870-1881, Got: 1872-1876"
ca. 1843,1838,1848,1840,1843,"Expected: 1838-1848, Got: 1840-1843"
19th century,1800,1900,1800,1899,"Expected: 1800-1900, Got: 1800-1899"
ca. 1775,1772,1778,1772,1775,"Expected: 1772-1778, Got: 1772-1775"
ca. 1715,1711,1720,1712,1715,"Expected: 1711-1720, Got: 1712-1715"
ca. 1770,1765,1775,1767,1770,"Expected: 1765-1775, Got: 1767-1770"
1797,1795,1797,1797,1797,"Expected: 1795-1797, Got: 1797-1797"
ca. 1850–75,1850,1875,1847,1875,"Expected: 1850-1875, Got: 1847-1875"
1716 or 1719 (edition),1716,1719,,,epochize returned null
18th century,1700,1800,1700,1799,"Expected: 1700-1800, Got: 1700-1799"
1815–45,1815,1815,1815,1845,"Expected: 1815-1815, Got: 1815-1845"
1810–30,1810,1810,1810,1830,"Expected: 1810-1810, Got: 1810-1830"
1738–ca. 1777,1738,1777,1738,1780,"Expected: 1738-1777, Got: 1738-1780"
ca. 1750–1800,1750,1800,1747,1800,"Expected: 1750-1800, Got: 1747-1800"
1889–90,1886,1890,1889,1890,"Expected: 1886-1890, Got: 1889-1890"
ca. 1846,1844,1850,1843,1846,"Expected: 1844-1850, Got: 1843-1846"
1754–70,1750,1770,1754,1770,"Expected: 1750-1770, Got: 1754-1770"
ca. 1919,1915,1925,1916,1919,"Expected: 1915-1925, Got: 1916-1919"
ca. 1908,1905,1911,1905,1908,"Expected: 1905-1911, Got: 1905-1908"
ca. 1860–66,1860,1866,1857,1866,"Expected: 1860-1866, Got: 1857-1866"
ca. 1825–52,1825,1852,1822,1852,"Expected: 1825-1852, Got: 1822-1852"
19th century (?),1800,1900,1800,1899,"Expected: 1800-1900, Got: 1800-1899"
ca. 1910,1907,1913,1907,1910,"Expected: 1907-1913, Got: 1907-1910"
ca. 1825–50,1825,1850,1822,1850,"Expected: 1825-1850, Got: 1822-1850"
ca. 1705,1702,1708,1702,1705,"Expected: 1702-1708, Got: 1702-1705"
"1879, cast probably 1880",1879,1880,,,epochize returned null
ca. 1920s,1917,1920,1890,1929,"Expected: 1917-1920, Got: 1890-1929"
ca. 1740–50,1735,1750,1737,1750,"Expected: 1735-1750, Got: 1737-1750"
ca. 1903,1898,1908,1900,1903,"Expected: 1898-1908, Got: 1900-1903"
ca. 1902,1899,1905,1899,1902,"Expected: 1899-1905, Got: 1899-1902"
ca. 1810–30,1815,1835,1807,1830,"Expected: 1815-1835, Got: 1807-1830"
1720–35,1720,1740,1720,1735,"Expected: 1720-1740, Got: 1720-1735"
1730–45,1725,1750,1730,1745,"Expected: 1725-1750, Got: 1730-1745"
1886–1900,1887,1900,1886,1900,"Expected: 1887-1900, Got: 1886-1900"
1710–30,1710,1710,1710,1730,"Expected: 1710-1710, Got: 1710-1730"
20th century,1900,2000,1900,1999,"Expected: 1900-2000, Got: 1900-1999"
ca. 1769,1764,1774,1766,1769,"Expected: 1764-1774, Got: 1766-1769"
ca. 1837,1832,1842,1834,1837,"Expected: 1832-1842, Got: 1834-1837"
ca. 1770–72,1770,1772,1767,1772,"Expected: 1770-1772, Got: 1767-1772"
ca. 1864,1861,1867,1861,1864,"Expected: 1861-1867, Got: 1861-1864"
1776–83,1776,1883,1776,1783,"Expected: 1776-1883, Got: 1776-1783"
ca. 1770–81,1767,1767,1767,1781,"Expected: 1767-1767, Got: 1767-1781"
ca. 1800–25,1800,1825,1797,1825,"Expected: 1800-1825, Got: 1797-1825"
1735–45,1730,1750,1735,1745,"Expected: 1730-1750, Got: 1735-1745"
ca. 1730–60,1727,1727,1727,1760,"Expected: 1727-1727, Got: 1727-1760"
1849–52,1849,1849,1849,1852,"Expected: 1849-1849, Got: 1849-1852"
1735–40,1735,1741,1735,1740,"Expected: 1735-1741, Got: 1735-1740"
ca. 1820–60,1820,1860,1817,1860,"Expected: 1820-1860, Got: 1817-1860"
ca. 1755–70,1750,1775,1752,1770,"Expected: 1750-1775, Got: 1752-1770"
ca. 1782,1779,1783,1779,1782,"Expected: 1779-1783, Got: 1779-1782"
before 1876,1866,1875,,,epochize returned null
ca.1796,1790,1799,1793,1796,"Expected: 1790-1799, Got: 1793-1796"
ca. 1879,1874,1884,1876,1879,"Expected: 1874-1884, Got: 1876-1879"
ca. 1754–61,1751,1751,1751,1761,"Expected: 1751-1751, Got: 1751-1761"
ca.1715,1700,1725,1712,1715,"Expected: 1700-1725, Got: 1712-1715"
ca.1790,1787,1793,1787,1790,"Expected: 1787-1793, Got: 1787-1790"
before 1830,1820,1829,,,epochize returned null
ca. 1824–40,1824,1840,1821,1840,"Expected: 1824-1840, Got: 1821-1840"
ca..1770,-5,5,,,epochize returned null
ca. 1915,1912,1918,1912,1915,"Expected: 1912-1918, Got: 1912-1915"
ca. 1770–1800,1770,1880,1767,1800,"Expected: 1770-1880, Got: 1767-1800"
"before 1924, after a 1660 design",1914,1923,,,epochize returned null
ca. 1758,1753,1763,1755,1758,"Expected: 1753-1763, Got: 1755-1758"
1836–40,1836,1836,1836,1840,"Expected: 1836-1836, Got: 1836-1840"
20th century (?),1900,2000,1900,1999,"Expected: 1900-2000, Got: 1900-1999"
1827–32,1827,1827,1827,1832,"Expected: 1827-1827, Got: 1827-1832"
1824–40,1824,1824,1824,1840,"Expected: 1824-1824, Got: 1824-1840"
1824–36,1824,1824,1824,1836,"Expected: 1824-1824, Got: 1824-1836"
1847–55,1847,1847,1847,1855,"Expected: 1847-1847, Got: 1847-1855"
1835–60,1835,1835,1835,1860,"Expected: 1835-1835, Got: 1835-1860"
1824–38,1824,1824,1824,1838,"Expected: 1824-1824, Got: 1824-1838"
1855–73,1855,1855,1855,1873,"Expected: 1855-1855, Got: 1855-1873"
ca. 1874,1869,1879,1871,1874,"Expected: 1869-1879, Got: 1871-1874"
18th or 19th century,1700,1900,,,epochize returned null
"Qing dynasty (1644–1911), ca. 1784–92",1784,1792,,,epochize returned null
ca. 1775–1800,1775,1800,1772,1800,"Expected: 1775-1800, Got: 1772-1800"
1800–1870,1800,1800,1800,1870,"Expected: 1800-1800, Got: 1800-1870"
ca. 1820–50,1820,1850,1817,1850,"Expected: 1820-1850, Got: 1817-1850"
ca. 1894–10,1894,1910,1891,10,"Expected: 1894-1910, Got: 1891-10"
early 19th century,1800,1830,1800,1833,"Expected: 1800-1830, Got: 1800-1833"
ca. 1800–1830,1800,1830,1797,1830,"Expected: 1800-1830, Got: 1797-1830"
ca. 1867–85,1862,1872,1864,1885,"Expected: 1862-1872, Got: 1864-1885"
ca. 1800–1840,1800,1840,1797,1840,"Expected: 1800-1840, Got: 1797-1840"
1790–1830,1790,1790,1790,1830,"Expected: 1790-1790, Got: 1790-1830"
1810–35,1810,1840,1810,1835,"Expected: 1810-1840, Got: 1810-1835"
ca. 1730–72,1725,1772,1727,1772,"Expected: 1725-1772, Got: 1727-1772"
