Object Date,Expected Begin,Expected End,Epochized Begin,Epochized End,Status
1853,1853,1853,1853,1853,PASS
1901,1901,1901,1901,1901,PASS
1909–27,1909,1927,1909,1927,PASS
1912,1912,1912,1912,1912,PASS
1907,1907,1907,1907,1907,PASS
1876,1876,1876,1876,1876,PASS
1910,1910,1910,1910,1910,PASS
1665–1700,1665,1700,1665,1700,PASS
1800–1900,1800,1900,1800,1900,PASS
1867,1867,1867,1867,1867,PASS
1860,1860,1860,1860,1860,PASS
1859,1859,1859,1859,1859,PASS
1881,1881,1881,1881,1881,PASS
1878,1878,1878,1878,1878,PASS
1860–70,1860,1870,1860,1870,PASS
1885,1885,1885,1885,1885,PASS
1866,1866,1866,1866,1866,PASS
1847–50,1847,1850,1847,1850,PASS
1893–95,1893,1895,1893,1895,PASS
ca. 1887,1884,1887,1884,1887,PASS
ca. 1785,1782,1785,1782,1785,PASS
1770–1800,1770,1800,1770,1800,PASS
1830–70,1830,1870,1830,1870,PASS
1850–70,1850,1870,1850,1870,PASS
1795–1810,1795,1810,1795,1810,PASS
ca. 1790,1787,1790,1787,1790,PASS
1700–1800,1700,1800,1700,1800,PASS
1800–1830,1800,1830,1800,1830,PASS
ca. 1800,1797,1800,1797,1800,PASS
1760–80,1760,1780,1760,1780,PASS
1750–65,1750,1765,1750,1765,PASS
1750–80,1750,1780,1750,1780,PASS
1740–60,1740,1760,1740,1760,PASS
ca. 1700,1697,1700,1697,1700,PASS
1800–1850,1800,1850,1800,1850,PASS
1730–70,1730,1770,1730,1770,PASS
1770–1830,1770,1830,1770,1830,PASS
1795–1815,1795,1815,1795,1815,PASS
1790–1820,1790,1820,1790,1820,PASS
1792–1814,1792,1814,1792,1814,PASS
1803–28,1803,1828,1803,1828,PASS
ca. 1810,1807,1810,1807,1810,PASS
1787–1810,1787,1810,1787,1810,PASS
ca. 1780,1777,1780,1777,1780,PASS
1894,1894,1894,1894,1894,PASS
1730–40,1730,1740,1730,1740,PASS
1868–70,1868,1870,1868,1870,PASS
1870–1900,1870,1900,1870,1900,PASS
ca. 1825,1822,1825,1822,1825,PASS
ca. 1830–40,1827,1840,1827,1840,PASS
1800–1815,1800,1815,1800,1815,PASS
1835–40,1835,1840,1835,1840,PASS
ca. 1650,1647,1650,1647,1650,PASS
1650–1700,1650,1700,1650,1700,PASS
1720–40,1720,1740,1720,1740,PASS
1700–1730,1700,1730,1700,1730,PASS
1889,1889,1889,1889,1889,PASS
1650–90,1650,1690,1650,1690,PASS
1710–50,1710,1750,1710,1750,PASS
1775–1800,1775,1800,1775,1800,PASS
1750–1800,1750,1800,1750,1800,PASS
1750–75,1750,1775,1750,1775,PASS
1690–1710,1690,1710,1690,1710,PASS
1675–1700,1675,1700,1675,1700,PASS
1660–1700,1660,1700,1660,1700,PASS
1785–95,1785,1795,1785,1795,PASS
1760–90,1760,1790,1760,1790,PASS
1725–45,1725,1745,1725,1745,PASS
ca. 1755,1752,1755,1752,1755,PASS
1815–20,1815,1820,1815,1820,PASS
1735–60,1735,1760,1735,1760,PASS
1700–1725,1700,1725,1700,1725,PASS
1790–1800,1790,1800,1790,1800,PASS
1795–1800,1795,1800,1795,1800,PASS
1755–75,1755,1775,1755,1775,PASS
1755–90,1755,1790,1755,1790,PASS
1665–90,1665,1690,1665,1690,PASS
ca. 1878,1875,1878,1875,1878,PASS
1725–90,1725,1790,1725,1790,PASS
1640–80,1640,1680,1640,1680,PASS
1630–1700,1630,1700,1630,1700,PASS
1735–43,1735,1743,1735,1743,PASS
1770–90,1770,1790,1770,1790,PASS
1862–63,1862,1863,1862,1863,PASS
1850–1900,1850,1900,1850,1900,PASS
1730–80,1730,1780,1730,1780,PASS
1805–15,1805,1815,1805,1815,PASS
ca. 1875,1872,1875,1872,1875,PASS
1794,1794,1794,1794,1794,PASS
1765–75,1765,1775,1765,1775,PASS
1800–1810,1800,1810,1800,1810,PASS
ca. 1904,1901,1904,1901,1904,PASS
1735–50,1735,1750,1735,1750,PASS
1865–70,1865,1870,1865,1870,PASS
1897–1910,1897,1910,1897,1910,PASS
ca. 1823,1820,1823,1820,1823,PASS
after 1866,1867,1876,1867,1876,PASS
after 1876,1877,1886,1877,1886,PASS
ca. 1914,1911,1914,1911,1914,PASS
ca. 1860,1857,1860,1857,1860,PASS
1801,1801,1801,1801,1801,PASS
ca. 1850,1847,1850,1847,1850,PASS
1877–97,1877,1897,1877,1897,PASS
ca. 1835,1832,1835,1832,1835,PASS
ca. 1870–75,1867,1875,1867,1875,PASS
ca. 1880,1877,1880,1877,1880,PASS
ca. 1891–93,1888,1893,1888,1893,PASS
ca. 1893,1890,1893,1890,1893,PASS
1877–80,1877,1880,1877,1880,PASS
1795–1805,1795,1805,1795,1805,PASS
1850–60,1850,1860,1850,1860,PASS
1791–1818,1791,1818,1791,1818,PASS
1810–15,1810,1815,1810,1815,PASS
1830–35,1830,1835,1830,1835,PASS
1870–75,1870,1875,1870,1875,PASS
ca. 1890,1887,1890,1887,1890,PASS
ca. 1902–3,1899,1903,1899,1903,PASS
1923–24,1923,1924,1923,1924,PASS
ca. 1850–60,1847,1860,1847,1860,PASS
1810–50,1810,1850,1810,1850,PASS
1820–30,1820,1830,1820,1830,PASS
ca. 1783,1780,1783,1780,1783,PASS
1792–93,1792,1793,1792,1793,PASS
ca. 1899–1904,1896,1904,1896,1904,PASS
1899–1904,1899,1904,1899,1904,PASS
1893,1893,1893,1893,1893,PASS
ca. 1894–95,1891,1895,1891,1895,PASS
1813–16,1813,1816,1813,1816,PASS
1815–25,1815,1825,1815,1825,PASS
1833–50,1833,1850,1833,1850,PASS
1875–1900,1875,1900,1875,1900,PASS
1795–1816,1795,1816,1795,1816,PASS
1807,1807,1807,1807,1807,PASS
1840–60,1840,1860,1840,1860,PASS
1700–1900,1700,1900,1700,1900,PASS
1860–1900,1860,1900,1860,1900,PASS
1825–45,1825,1845,1825,1845,PASS
1719–58,1719,1758,1719,1758,PASS
1821–ca. 1843,1821,1846,1821,1846,PASS
ca. 1822–50,1819,1850,1819,1850,PASS
1892–1903,1892,1903,1892,1903,PASS
1794–ca. 1834,1794,1837,1794,1837,PASS
ca. 1820,1817,1820,1817,1820,PASS
1770–1870,1770,1870,1770,1870,PASS
1800–1809,1800,1809,1800,1809,PASS
ca. 1806–15,1803,1815,1803,1815,PASS
1849–58,1849,1858,1849,1858,PASS
ca. 1849–58,1846,1858,1846,1858,PASS
1756–85,1756,1785,1756,1785,PASS
ca. 1816–ca. 1830,1813,1833,1813,1833,PASS
1857–90,1857,1890,1857,1890,PASS
1712–54,1712,1754,1712,1754,PASS
1810–20,1810,1820,1810,1820,PASS
1880–90,1880,1890,1880,1890,PASS
1830–1900,1830,1900,1830,1900,PASS
1880–88,1880,1888,1880,1888,PASS
1770–76,1770,1776,1770,1776,PASS
1670–1700,1670,1700,1670,1700,PASS
1775–1825,1775,1825,1775,1825,PASS
ca. 1765,1762,1765,1762,1765,PASS
1760–65,1760,1765,1760,1765,PASS
ca. 1833–46,1830,1846,1830,1846,PASS
ca. 1683,1680,1683,1680,1683,PASS
1822–24,1822,1824,1822,1824,PASS
1822–25,1822,1825,1822,1825,PASS
1789,1789,1789,1789,1789,PASS
ca. 1776–96,1773,1796,1773,1796,PASS
ca. 1768,1765,1768,1765,1768,PASS
1825–50,1825,1850,1825,1850,PASS
1832–40,1832,1840,1832,1840,PASS
1807–35,1807,1835,1807,1835,PASS
1801–56,1801,1856,1801,1856,PASS
ca. 1670,1667,1670,1667,1670,PASS
ca. 1834–45,1831,1845,1831,1845,PASS
1800–1825,1800,1825,1800,1825,PASS
ca. 1730,1727,1730,1727,1730,PASS
1814,1814,1814,1814,1814,PASS
ca. 1832–39,1829,1839,1829,1839,PASS
1680–1730,1680,1730,1680,1730,PASS
1711,1711,1711,1711,1711,PASS
ca. 1719,1716,1719,1716,1719,PASS
1740–90,1740,1790,1740,1790,PASS
1760–1800,1760,1800,1760,1800,PASS
1830–60,1830,1860,1830,1860,PASS
1881–84,1881,1884,1881,1884,PASS
1740–80,1740,1780,1740,1780,PASS
ca. 1865,1862,1865,1862,1865,PASS
1916,1916,1916,1916,1916,PASS
ca. 1880–1900,1877,1900,1877,1900,PASS
1835–45,1835,1845,1835,1845,PASS
1800–1883,1800,1883,1800,1883,PASS
1776–1883,1776,1883,1776,1883,PASS
1815,1815,1815,1815,1815,PASS
1851,1851,1851,1851,1851,PASS
1776–1800,1776,1800,1776,1800,PASS
1790–1883,1790,1883,1790,1883,PASS
1778,1778,1778,1778,1778,PASS
1777,1777,1777,1777,1777,PASS
ca. 1797,1794,1797,1794,1797,PASS
1870–78,1870,1878,1870,1878,PASS
ca. 1867,1864,1867,1864,1867,PASS
1600–1700,1600,1700,1600,1700,PASS
1725–75,1725,1775,1725,1775,PASS
1847,1847,1847,1847,1847,PASS
1674 edition,1674,1674,1674,1674,PASS
1792,1792,1792,1792,1792,PASS
1744,1744,1744,1744,1744,PASS
ca. 1910–20,1907,1920,1907,1920,PASS
1820–40,1820,1840,1820,1840,PASS
1852–58,1852,1858,1852,1858,PASS
1868,1868,1868,1868,1868,PASS
1780,1780,1780,1780,1780,PASS
1795,1795,1795,1795,1795,PASS
1787,1787,1787,1787,1787,PASS
1810,1810,1810,1810,1810,PASS
1822,1822,1822,1822,1822,PASS
1784,1784,1784,1784,1784,PASS
1802,1802,1802,1802,1802,PASS
1769,1769,1769,1769,1769,PASS
1803,1803,1803,1803,1803,PASS
1782,1782,1782,1782,1782,PASS
1786,1786,1786,1786,1786,PASS
1788,1788,1788,1788,1788,PASS
1800,1800,1800,1800,1800,PASS
1808,1808,1808,1808,1808,PASS
1819,1819,1819,1819,1819,PASS
after 1909,1910,1919,1910,1919,PASS
1755–60,1755,1760,1755,1760,PASS
ca. 1853–58,1850,1858,1850,1858,PASS
1849,1849,1849,1849,1849,PASS
1715–28,1715,1728,1715,1728,PASS
1835–50,1835,1850,1835,1850,PASS
1870–90,1870,1890,1870,1890,PASS
ca. 1881,1878,1881,1878,1881,PASS
ca. 1885,1882,1885,1882,1885,PASS
1883,1883,1883,1883,1883,PASS
1881–85,1881,1885,1881,1885,PASS
1882,1882,1882,1882,1882,PASS
ca. 1812,1809,1812,1809,1812,PASS
1770–1820,1770,1820,1770,1820,PASS
1763–79,1763,1779,1763,1779,PASS
1800–1820,1800,1820,1800,1820,PASS
1820–50,1820,1850,1820,1850,PASS
ca. 1644,1641,1644,1641,1644,PASS
1840–50,1840,1850,1840,1850,PASS
ca. 1760,1757,1760,1757,1760,PASS
1760–70,1760,1770,1760,1770,PASS
1825–40,1825,1840,1825,1840,PASS
1763–74,1763,1774,1763,1774,PASS
1670–1730,1670,1730,1670,1730,PASS
ca. 1840,1837,1840,1837,1840,PASS
ca. 1830,1827,1830,1827,1830,PASS
1780–1820,1780,1820,1780,1820,PASS
ca. 1800–1814,1797,1814,1797,1814,PASS
1803–67,1803,1867,1803,1867,PASS
1830–50,1830,1850,1830,1850,PASS
1835–65,1835,1865,1835,1865,PASS
